Unnamed: 0,time_ago,titles,subtitles,location,images,Links,Article_Content
0,4 days ago,Music technology project teaches teens life skills,Teenagers at an Ennerdale Bridge venue learn the technology to put on professional live stage shows.,Cumbria,https://ichef.bbci.co.uk/news/480/cpsprodpb/f3ec/live/44043130-6488-11ef-a742-630667543078.jpg.webp,https://www.bbc.com/news/articles/c17gzgyr1l1o,"Teenagers have been learning the music technology skills needed to put on professional shows.At The Gather in Ennerdale Bridge, Cumbria, a group have been taking part in a series of workshops funded by Arts Council England.The sessions equip them with the skills to polish the vocals and smooth the instrumental sounds of touring musicians.The scheme is the brainchild of retired headteacher, Peter Maher, who hopes it will improve the technical skills of those involved and provide some real-life experience.Mr Maher, who organised the workshop project in the west Cumbrian village, says he ""knows of no other project like this"".""It brings them in on day one at the level of novice, and by day five they’re equipped to fully manage the technical side of a performance,"" he added.Youngsters like theatre-mad, 17-year-old Niamh McMullin from Cockermouth spent the week preparing for a full live show by musicians Snake Davis and Gareth Moulton.Miss McMullin said the project had been ""a steep learning curve"".""I think I was thrown in a bit at the deep end because I’m not really from a technical or a musical background,"" she said.""I've always been interested in theatre and this is an extension of that.""Meanwhile, 15-year-old Samuel Wrightson, from Carlisle, said he was keen to develop the skills needed to work in the music industry.""I just thought it would be a great opportunity to learn about the new systems and I haven't been able to do that before and I always love to do stuff like this,"" he said.They were supervised by students already on music production, or similar, courses.The group worked together to prepare for a final night gig at The Gather which was streamed live to online viewers across the world.Saxophonist Snake Davis said he was always keen to help young people make their way in music.""These youngsters are potentially going to follow in our footsteps and look for employment within the industry,"" Mr Davis said.""To get an experience of real life, because this not a pretend gig, this is a proper gig and they’re sorting it out, is so valuable.""For 14-year-old Daniel Bishop, it has been ""the perfect week"".“It’s very exciting. I just feel quite privileged to be with such great people.”Follow BBC Cumbria on X, Facebook, Nextdoor and Instagram. Send your story ideas to northeastandcumbria@bbc.co.uk."
1,5 days ago,Maternity ward to pilot new cataract technology,A new device which could help diagnose cataracts in newborn babies is being piloted in Poole.,Dorset,https://ichef.bbci.co.uk/news/480/cpsprodpb/3e83/live/63398650-63a6-11ef-a3be-9d22df5b2625.jpg.webp,https://www.bbc.com/news/articles/c0rw9ve8rqro,"An innovative new device which could help diagnose cataracts in newborn babies is being trialled in a Dorset maternity unit.The Neocam, a handheld camera, will be piloted by paediatric staff at Poole Hospital.About one in 3,000 babies are affected by cloudiness of the eye’s lens, known as cataracts, according to the NHS.It is hoped the tool will be more accurate than the current technique, which involves using a medical eye torch called an ophthalmoscope.Led by University Hospitals Dorset (UHD), the study will be open for a year and aims to assess about 1,200 babies.Explaining how the device works, Nina Vanner, paediatric research nurse at Poole Hospital said: ""The camera takes a picture of babies’ eyes using both infrared and green light.""Previous small-scale studies have shown that this photoscreening technique can make childhood cataract detection easier.""If successful, it will enable faster diagnosis, referral, and surgery if required.All babies born in the UK are screened for cataracts twice.“Despite this, late diagnosis of a cataract continues to be a problem, causing avoidable visual impairment in some affected children,"" Ms Vanner added.You can follow BBC Dorset on Facebook, X (Twitter), or Instagram. "
2,22-Aug-24,Hospitals keep AI technology after cancer trial,"The technology detects more potentially cancerous bowel lesions, experts say.",England,https://ichef.bbci.co.uk/news/480/cpsprodpb/c525/live/bb4b1eb0-6074-11ef-aea1-e764981585c4.jpg.webp,https://www.bbc.com/news/articles/cvg3r35j04po,"A hospital trust will continue to use AI technology after a trial found the software helped find bowel lesions which could become cancerous.South Tyneside and Sunderland NHS Foundation Trust (STSFT) has been using a computer module called the GI Genius AI device during colonoscopies - a procedure which uses a camera to look inside a person's bowel.On average the new technology found an extra 0.36 lesions - known as adenomas - during each colonoscopy, it said.Prof Colin Rees, a consultant gastroenterologist at the trust, said the new equipment would ""save lives"".""This trial has demonstrated that using artificial intelligence can significantly increase detection of the kind of abnormalities in the bowel that may progress to cancer,"" he said.""We are able to find these lesions, remove them and stop these lesions turning into cancer.""The AI helped medical staff find more small or flat polyps, which are often missed by the human eye.There are about 43,000 new cases of bowel cancer each year in the UK and about 16,000 people die from the disease each year, Prof Rees said.A total of 2,032 patients from 10 centres across the UK took part in the trial. The research found the AI device identified at least one adenoma in an extra eight out of 100 people and did not increase the risk of complications.""We now use this technology routinely in our practice and I really hope that it will be used more widely,"" said Prof Rees.""The fantastic thing about using AI is that it learns. It is trained by looking at images.""It’s adding to its knowledge all the time, so it’s only going to get better.""The Colo-detect trial was led by STSFT and Newcastle University and involved 10 trusts from across England.Follow BBC Sunderland on X (formerly Twitter), Facebook and Instagram. Send your story ideas to northeastandcumbria@bbc.co.uk."
3,20-Aug-24,The mind-bending mirrors behind advanced technology,"Huge, tiny or incredibly flat, advanced mirrors are essential to high-tech machines.",Europe,https://ichef.bbci.co.uk/news/480/cpsprodpb/51ca/live/6949ec50-3dd7-11ef-9e1c-3b4a473456a6.jpg.webp,https://www.bbc.com/news/articles/cd1646ewzleo,"High on a mountain, in Chile's bone dry Atacama desert the European Southern Observatory (ESO) is currently building the world's largest optical telescope.No time was wasted on choosing a name -  it will be called the Extremely Large Telescope or ELT.Instead, huge energy has gone into designing and building “the world’s biggest eye on the sky”, which should start collecting images in 2028 and is very likely to expand our understanding of the universe.None of that would be possible without some of the most advanced mirrors ever made.Dr Elise Vernet is an adaptive optics specialist at ESO and has been overseeing development of the five giant mirrors that will gather and channel light to the telescope’s measuring equipment.Each of the ELT’s custom mirrors is a feat of optical design.Dr Vernet describes the 14ft (4.25m) convex M2 mirror as “a piece of art”.But perhaps the M1 and M4 mirrors best express the level of intricacy and precision required.The primary mirror, M1, is the largest mirror ever made for an optical telescope.“It’s 39m [128ft] in diameter, made up of [798] hexagonal mirror segments, aligned so that it behaves as a perfect monolithic mirror,” says Dr Vernet.M1 will collect 100 million times more light than the human eye and must be able to maintain position and shape to a level of precision 10,000 times finer than a human hair.The M4 is the largest deformable mirror ever made and will be able to change shape 1,000 times per second to correct for atmospheric turbulence and the vibrations of the telescope itself that could otherwise distort imagery.Its flexible surface is made up of six petals of a glass-ceramic material that is less than 2mm (0.075in) thick.The petals were made by Schott in Mainz, Germany and then shipped to engineering firm Safran Reosc just outside Paris, where they were polished and assembled into the complete mirror.All five mirrors are nearing completion and will soon be transported to Chile for installation.While these enormous mirrors will be used to capture the light of the cosmos, ESO’s neighbours in Garching, at the Max Planck Institute for Quantum Optics, have created a quantum mirror to operate at the tiniest scales imaginable.In 2020, a research team was able to make a single layer of 200 aligned atoms behave collectively to reflect light, effectively creating a mirror so small it cannot be seen by the naked eye. In 2023, they succeeded in placing a single microscopically controlled atom at the centre of the array to create a “quantum switch” that can be used to control whether the atoms are transparent or reflective.“What theorists predicted, and we observed this experimentally, is that in these ordered structures, once you absorb a photon and it gets re-emitted, it's actually emitted [in one predictable] direction and this is what makes it a mirror,” says Dr Pascal Weckesser, a postdoctoral researcher at the institute.This ability to control the direction of atom-reflected light could have future applications in a number of quantum technologies like, for example, hack-proof quantum networks for storing and transmitting information.Further north-west in Oberkochen near Stuttgart, mirrors with another extreme property are being made by Zeiss.The optics company spent years developing an ultra-flat mirror which has become a key component in the machines which print computer chips, called extreme ultraviolet lithography machines, or EUVs.Dutch company ASML is the world's leading maker of EUVs, and Zeiss mirrors are an essential component of them.Zeiss’s EUV mirrors can reflect light at very small wavelengths which enables image clarity at a tiny scale, so more and more transistors can be printed on the same area of silicon wafer.To explain how flat the mirrors are, Dr Frank Rohmund, president of semiconductor manufacturing optics at Zeiss, uses a topographical analogy.“If you took a household mirror and blew it up to the size of Germany, the highest elevation point would be 5m. On a space mirror [as in the James Webb Space Telescope], it would be 2cm [0.75in]. On an EUV mirror, it would be 0.1mm,” he explains.This ultra-smooth mirror surface combined with systems that control the mirror’s positioning, also made by Zeiss, yield an accuracy level equivalent to bouncing light off an EUV mirror on the Earth’s surface and picking out a golf ball on the moon.While those mirrors may already sound extreme, Zeiss has plans for improvement, to help make even more powerful computer chips.“We have ideas about how to develop EUV further. By 2030, the goal is to have a microchip with one trillion transistors on it. Today, we are maybe at a hundred billion.”That goal came closer with Zeiss's latest tech, which enables the printing of about three times more structures on the same area than the current generation of chip making machines.“The semiconductor industry has this dominating strong roadmap which provides a drumbeat for all players contributing to the solution. With this, we are able to provide progress in terms of microchip fabrication which today allows things like artificial intelligence which were unthinkable even ten years ago,” says Dr Rohmund.What humanity will understand and be capable of in ten years’ time remains to be seen, but mirrors will no doubt be at the heart of the technologies that take us there."
4,20-Aug-24,"AI technology keeps 6,000 deer from rail routes",The system was installed as part of a trial in Grantham and Stoke-on-Trent.,Technology,https://ichef.bbci.co.uk/news/480/cpsprodpb/d641/live/7385d8c0-5ec3-11ef-bc34-c73f4d0aa7c3.jpg.webp,https://www.bbc.com/news/articles/ckg5l4jq231o,"AI-based technology has stopped almost 6,000 deer from crossing busy rail routes in England.Network Rail and train operator LNER installed the deterrent system at Stoke Junction, near Stoke-on-Trent, in May 2023 before expanding the scheme to Little Bytham, near Grantham, in December 2023.It uses AI to identify when a deer approaches the tracks and activates audible and visual alarms.A Network Rail spokesperson said it was ""great to see the positive outcome"" of the trial and the scheme would be rolled out further in the future.Johanna Priestley, route engineer for Network Rail's east coast route, said the railway is a ""dangerous place for animals"" and the measures would help ""keep passengers and train crew safe, as well as protecting deer from the railway"".Data from the trial period showed 2,765 deer were deterred at Little Bytham and 3,147 at Stoke Junction.The automated system uses sensors to identify when a deer approaches the tracks, which triggers alarms that deter the animal.A camera monitors its movement until it has been diverted to a safe distance.Incidents of animals on Britain's railways are recorded about four times a day on average, figures from Network Rail show.It said there were 1,432 reports in the 12 months to the end of March.Deer, which tend to live in rural, forested areas which are often alongside the railway, topped the list, with 349 incidents.Sheep followed with 177 incidents, birds at 172, cows with 156 and swans at 143.The Department for Environment, Food and Rural Affairs estimated the deer population in the UK had increased from 450,000 in the 1970s to two million today - the highest levels for 1,000 years.It said milder winters, increased woodland and agricultural changes are some of the factors linked to this rise.Follow BBC Lincolnshire on Facebook, X (formerly Twitter), and Instagram. Send your story ideas to eastyorkslincs.news@bbc.co.uk"
5,01-Aug-24,Can technology fix the 'broken' concert ticketing system?,The increased use of AI may prevent tickets being resold at excessively high prices.,Wales,https://ichef.bbci.co.uk/news/480/cpsprodpb/4f57/live/21801850-4a65-11ef-935f-59cf6f181f38.jpg.webp,https://www.bbc.com/news/articles/cml2p8nvzp9o,"For Nashville native Jacki Thrapp flying to Europe this summer to see her idol Taylor Swift perform live was a “no brainer”.With the cheapest tickets for the remaining US dates of Swift’s continuing Eras Tour now costing $2,500 (£2,000) on the resale market, up from their face value of $49, some American fans realised that it would be cheaper for them to fly across the Atlantic to catch one of the European shows instead.So back in May, Jacki went to see Swift perform twice in Sweden, with each ticket costing her less than $200.“Americans are paying so much money, and a lot of Taylor Swift fans are people in their 20s and 30s,” says the 32-year-old. “We're paying so much money to see her in the US when a lot of us still can't even afford a house.”Although Jacki bought two Swedish tickets on the secondary market, the mark-up of the most expensive was only around double its face value. This is said to be because buying resold tickets is not an established thing to do in Sweden, unlike in the US and UK.In other European countries, such as Germany, tickets cannot be resold at more than 25% above their face value. Meanwhile, some nations go even further. Italy, Portugal and the Republic of Ireland all have laws in place that prevent concert tickets being sold above their original price.In the UK and the US the price of re-sold tickets can currently be as high as people are willing to pay. In April, 250 musical artists, including Billie Eilish and Cyndi Lauper, signed an open letter that attacked ""predatory resellers"", and called the current ticking system ""broken"".The situation may change for the better in the UK in the next few years, as the Labour Party, which forms the new government, said in March that it planned to cap the resale price of tickets.Yet laws preventing excessive pricing on the secondary market do not stop two key issues – touts getting their hands on excessive amounts of tickets in the first instance, and the risk of people buying counterfeit tickets or being scammed.The latter is said to have affected hundreds of Taylor Swift fans who tried to buy tickets for her concerts in the UK this summer.Asher Weiss, chief executive of ticketing start-up Tixologi, believes that technology is the solution, particularly AI.“People [touts] will buy a ticket and list it on multiple marketplaces for secondary sale,” he says. “And then even if it sells on one, they won't take it down off the other one.“So multiple people end up with the same ticket, trying to get in,” explains Mr Weiss, whose firm is based in Los Angeles.To prevent people buying excessive numbers of tickets, he says that Tixologi’s AI “will be able to flag people making multiple purchases from the same IP address as unusual purchasing behaviour”.“That would prevent those bad actors, and protect the true fans and customers,” adds Mr Weiss.His firm is also able to ensure that only one copy of a ticket can ever exist. It does this by using blockchain, the technology that underpins cryptocurrencies. This prevents duplication.Tixologi’s electronic tickets also have a rotating QR code that is said to be extremely difficult to copy, so that fake ones are instantly spotted when scanned. And a venue or artist can select a function called “disable transfers”, which prevents a user from emailing the ticket to someone else. This makes them much harder to re-sell.UK ticketing company Seat Unique is working with London’s Wembley Stadium to sell hospitality tickets for Taylor Swift’s tour. She returns to the stadium for five shows in August, following three there in June.“It is probably the most popular event I’ve seen in 15 years,” says Robin Sherry, Seat Unique’s founder and chief executive.The company specializes in allowing venues and artists to sell their tickets via dynamic pricing. What this means is that the price is allowed to go up, and down, according to demand.The idea is that the venue and artists sell the tickets directly, and therefore get the additional income if prices rise, instead of that money going to sellers on the secondary market.To set the dynamic price Seat Unique is now using AI to constantly monitor demand and automatically respond to it.“It’s ultimately about keeping tickets in the hands of fans not scalpers,” says Mr Sherry, who also works with sports clubs and organisations.He adds that AI also has the ability to transform the marketing of concerts and other events, with adverts specifically targeted at individuals based on learning what they are interested in.“I always jokingly say, AI will know what events you want to go to before I do,” he adds, saying that this will be “revolutionary in an industry that has been slow to modernise”.While AI is starting to change how we are able buy tickets to concerts and other events, it is also beginning to appear on the stage.In November a new AI-powered hologram of Elvis Presley will be performing live in London.The creator of the Elvis Evolution production, Andrew McGuiness, says the hologram is so lifelike that it will be “less like Abba Voyage and more like time travel”.But whether AI will be the answer for fans like Jacki Thrapp remains to be seen. ""This was the first time I've ever left America to see one of my favourite artists, but there has to be a better way to do this,” she says.Both Seat Unique and Tixologi hope that better way will be delivered by advances in AI."
6,18-Jul-24,How technology will power the opening ceremony,A new network along the Seine in Paris will broadcast Olympic festivities from the river.,Manchester,https://ichef.bbci.co.uk/images/ic/480x270/p0jbv15z.jpg.webp,https://www.bbc.com/reel/video/p0jbtxqr/how-technology-will-power-the-opening-ceremony,"The athletes' arrival via boat at the opening ceremony of the Olympic Games in Paris is ""a visual feast, but also a challenging event to broadcast"".BBC technology reporter Paul Carter investigates how 5G technology on the river Seine will allow filming and streaming the event on water.TechXplore Paris: Countdown to the Games - is the first episode of a three-part series presented by BBC’s Paul Carter and will air globally on 20 July 2024."
7,4 days ago,Drones deliver packages to remote parts of Wales,Manufacturers are testing out technology to help deliver critical parcels by drone.,Business,https://ichef.bbci.co.uk/news/480/cpsprodpb/a010/live/63b683c0-6541-11ef-93e5-dd4bf8468803.jpg.webp,https://www.bbc.com/news/articles/c17gznrqnk7o,"Urgent parcels and medical supplies could soon be delivered to isolated areas in Wales by drones to help speed up the process.Manufacturers have been testing out the technology in Eryri, also known as Snowdonia.The chief executive of drone company Windracers, Simon Muderack, said they hope to set up a partnership with postal services to be able to ""connect to the people most in need"".The UK government is currently considering allowing drones to deliver goods to rural areas to ensure remote regions are not left behind by advances in transport technology.The project aims to deliver critical supplies to those who need it, which Windracers say will be just as cost-effective as traditional delivery routes. Its ULTRA (Uncrewed Low-cost Transport), is a self-flying aircraft designed to carry 100kg packages over 600km (372 miles). The company's aircrafts first flew in 2019 to transport medical supplies to the Isle of Wight. Since then, Windracers have taken post and parcels to remote islands in Orkney and the Shetlands.A number of its drones can also be spotted flying around the company test centre in Llanbedr, Gwynedd. Speaking to BBC Radio Wales Breakfast, Mr Muderack said the company hopes to manufacture on a larger scale in future.""Drones can make such a difference to people's lives – especially those living in rural areas of Wales,"" he said. ""The uses for the platform are infinite. Over time this platform could fly anywhere in the world.""  Windracers has worked with organisations including the Ministry, British Antarctic Survey and Royal Mail.Research is still in the test phase but they are confident that with more trails, delivery via aviation could really ""take off"". ""A key barrier to the plan will be regulating and managing the sky."" said Mr Muderack. ""We want to gather more data, working with a regulator, to see how far we can take this."" There is increasing interest in aircraft delivery, as the first commercial drone mail service in Orkney was recently extended to 2026 to take letters and parcels between islands."
8,2 days ago,AI cameras to spot region's drivers on phones,The artificial intelligence technology detects potential offending drivers before a final human check.,Gloucestershire,https://ichef.bbci.co.uk/news/480/cpsprodpb/e72f/live/36189ce0-660f-11ef-a04d-25d7e12eecf1.jpg.webp,https://www.bbc.com/news/articles/cged890y27wo,"Cameras which use AI to automatically detect drivers on phones and those not wearing seat belts are being deployed in Greater Manchester as part of rollout of a national trial.Acusensus, which is behind the ""Heads Up"" technology, said footage that was found to contain evidence of an offence would be sent for a secondary human check.Transport for Greater Manchester (TfGM) said the regional trial, which begins on 3 September,  would also be used by Safer Roads Greater Manchester as a traffic survey to understand how many drivers still choose to break the law. Distractions and not wearing seatbelts were ""key factors"" in crashes, it added. TfGM said drivers were four times more likely to be in a crash if they use their phone while driving and twice as likely to die in a crash if they do not wear a seat belt.Introduction of the AI cameras follows Safer Roads Greater Manchester's Touch.Screen campaign which aimed to raise awareness of the dangers of using a mobile phone at the wheel. The campaign was supported by Calvin Buckley, whose partner Frankie Jules-Hough and their unborn daughter died after a driver, who filmed himself speeding on the M66 in Bury, crashed into their car.Mr Buckley said his ""life was destroyed"" as a result of someone using their phone while driving.“It’s become quite common for people to use their phone to check messages, send photos or change the music while driving,"" he said. “But all it takes is a split second to become distracted, and when you take your eyes off the road anything could happen.""Heads Up, which can be mounted to a vehicle or a trailer, has been used by police forces and local highways authorities across the UK since it was first trialled by National Highways in 2021.Greater Manchester Police is one of the ten forces now joining the trial.  Acusensus said if an image later showed that no offence had been committed, it would be deleted immediately by the software and no further action would be taken.  Listen to the best of BBC Radio Manchester on Sounds and follow BBC Manchester on Facebook, X, and Instagram. You can also send story ideas to northwest.newsonline@bbc.co.uk"
9,7 days ago,Have supermarkets reached peak self-scan?,Supermarkets are beginning to question the divisive technology after years of criticism from shoppers.,Hull & East Yorkshire,https://ichef.bbci.co.uk/news/480/cpsprodpb/2751/live/03dffa70-5ed5-11ef-8946-5dee0275025b.jpg.webp,https://www.bbc.com/news/articles/cj08m35q3l9o,"After years of encouraging shoppers to scan their own groceries, some supermarkets are checking out a move back to traditional tills.Asda said it would put more staff on checkouts, while Morrisons admitted it might have ""gone too far"" with self-scan. Northern upmarket chain Booths has got rid of them altogether.The dreaded ""unexpected item in the bagging area"" announcement is among a list of customer complaints about self-service tills.But some shoppers told the BBC they're happy to skip the queues and the chit chat if it speeds up their shop.The debate over staffed versus unstaffed tills has continued to rumble on as the number of self-scan tills has increased over the past 20 years to some 80,000 in the UK.Now Morrisons chief executive has claimed the store ""went a bit too far"" with the self-checkout. Although they drive some productivity, ""some shoppers dislike it, mainly when they have a full trolley,"" Rami Baitiéh, told the Telegraph.He said the chain was now ""reviewing"" its number of self-service checkouts, with plans to remove some in favour of staffed tills.His comments came after Asda pledged to put more staff on checkouts after admitting it had reached a limit with self-service tills.Some have gone further. Booths - a smaller, upmarket supermarket chain based in the north of England - rid itself of the technology completely last November.For Beverley Hyrb, from Oldham in Greater Manchester there's a new nuisance when it comes to negotiating the self-scan. She is particularly turned off by the cameras on some of these tills that capture live footage of the user.""You see an image of yourself moving about and I don’t like it,"" the 62-year-old said. ""I’d rather get in a queue.""Stores could be using the technology to discourage shoplifting, after such cases in England and Wales hit the highest level for 20 years in April.Ms Hyrb added that there were mental health benefits to speaking to someone when grocery shopping.""Especially if you’re living on your own. Doesn’t matter if it’s about the weather or the news or whatever, it’s just good to chat.""For others self-checkouts are not merely annoying, but a challenge to use.""As a deaf person, I can't hear the beep when I scan items so I'm always getting in a tangle with them as they don't always scan correctly,"" said Anna Kenyon from Manchester.She said people - as opposed to machines - are much better at adapting to her condition. Like Beverley, she appreciates the human touch.""I've had some lovely interactions in Aldi where a checkout assistant spontaneously started signing with me. Little moments of connection like that are lovely.”Julie Yates has two adult sons who have autism and said self-checkouts allow them some independence.""They don't have to interact with anyone, they can be in and out and gone,"" she said. ""They don't have to make eye contact or small talk.""""My mum and I, we go to a [staffed] checkout,"" Ms Yates said. ""It's a little social interaction, it can be a nice part of the day.""Others simply prefer self-checkout because they find it quicker.For 74-year-old Trevor Springford from Dunbar in East Lothian ""it's all about getting in and out fast without having to queue, get involved in a conversation or field questions.""For people like Trevor, it is welcome news that self-checkouts won't be going away entirely anytime soon. As for those who loathe them, they may start to see a few more staffed tills in future.The British Retail Consortium which represents most of the UK's major supermarkets would not be drawn on whether this was the start of a phasing out of self-scan. A spokesperson told BBC News: ""Retailers will adapt check-out systems across their different stores to meet the diverse needs of their customers.""Ged Futter, director of supermarket consultancy The Retail Mind, agreed that customer feedback is king when it comes to these kinds of shifts in retail.""At the moment, I think it's particular to those two retailers [Asda and Morrisons],"" he told BBC Breakfast. One of the benefits self-scans bring to supermarkets is they cut staff wage bills, but if it impacts on customer experience, it's bad for business.""The retailers themselves will always be looking at costs, [but] sometimes when you're looking at costs, you can go too far,"" Mr Futter said.""Successful retailing is all based on feedback from the customer. It's about understanding your customer,"" he added.BBC News contacted all the UK's major supermarket chains to ask whether they were changing their till set-up. Tesco, Lidl, Co-Op and Waitrose said they would continue to offer both.Marks and Spencer said their stores had different formats for different customer needs, but all stores with staffed tills always has at least one open for checkout.Aldi and Sainsbury's did not respond to requests for comment.Tesco said it introduced self-checkout tills nearly 20 years ago. A spokesperson for the country's biggest supermarket said: ""We are proud to offer customers choice when it comes to checking out and customers can always ask a colleague for a manned till to be opened.""But Fazilet Hadi, head of policy at Disability Rights UK, said customers should not have to ask for a staffed till to be opened. ""They're not always that visible, these staff. What if I can't see them?""However she acknowledged that reasonable adjustments for people with disabilities ""have to be proportionate"".""What's reasonable for a multi-million pound chain may not be reasonable for a corner shop,"" she said, but added that choice was important as everyone's needs are different.Mel Merritt, head of policy and campaigns at the National Autistic Society, said some people ""may prefer the reduced level of social communication and interaction which a self-service checkout provides"".""Others may need more support while shopping and may benefit from having staff at checkouts who can help,"" she added."
